Danh mục ngành	
7520218	Kỹ thuật Robot và Trí tuệ nhân tạo
7520219	Hệ thống giao thông thông minh
7520301	Kỹ thuật hoá học
7520309	Kỹ thuật vật liệu
7520310	Kỹ thuật vật liệu kim loại
7520312	Kỹ thuật dệt
7520320	Kỹ thuật môi trường
7520401	Vật lý kỹ thuật
7520402	Kỹ thuật hạt nhân
7520403	Vật lý y khoa, khối ngành
7520406	Kỹ thuật năng lượng
7520501	Kỹ thuật địa chất
7520502	Kỹ thuật địa vật lý
7520503	Kỹ thuật trắc địa - bản đồ
7520505	Đá quý Đá mỹ nghệ
7520601	Kỹ thuật mỏ
7520602	Kỹ thuật thăm dò và khảo sát
7520604	Kỹ thuật dầu khí
7520605	Kỹ thuật khí thiên nhiên
7520606	Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên
7520607	Kỹ thuật tuyển khoáng
7540101	Công nghệ thực phẩm
7540102	Kỹ thuật thực phẩm
7540103	Công nghệ hóa thực phẩm
7540104	Công nghệ sau thu hoạch
7540105	Công nghệ chế biến thuỷ sản
7540106	Đảm bảo chất lượng và an toàn thực phẩm
7540108	Công nghệ và kinh doanh thực phẩm
7540110	Khoa học và công nghệ thực phẩm
7540202	Công nghệ sợi, dệt
7540203	Công nghệ vật liệu dệt, may
7540204	Công nghệ may
7540206	Công nghệ da giày
7540209	Công nghệ may
7549001	Công nghệ chế biến lâm sản
7549002	Kỹ nghệ gỗ và nội thất
7580101	Kiến trúc
7580102	Kiến trúc cảnh quan
7580103	Kiến trúc nội thất
7580104	Kiến trúc đô thị
7580105	Quy hoạch vùng và đô thị
7580106	Quản lý đô thị và công trình
7580107	Quản lý đô thị
7580108	Thiết kế nội thất
7580109	Quản lý phát triển đô thị và bất động sản
7580111	Bảo tồn di sản kiến trúc - đô thị
7580112	Đô thị học
7580199	Thiết kế đô thị
7580201	Kỹ thuật xây dựng
7580202	Kỹ thuật xây dựng công trình thủy
7580203	Kỹ thuật xây dựng công trình biển
7580204	Xây dựng công trình ngầm thành phố và Hệ thống tàu điện ngầm
7580205	Kỹ thuật xây dựng công trình giao thông
7580210	Kỹ thuật cơ sở hạ tầng
7580211	Địa kỹ thuật xây dựng
7580212	Kỹ thuật tài nguyên nước
7580213	Kỹ thuật cấp thoát nước
7580301	Kinh tế xây dựng
7580302	Quản lý xây dựng
7589001	Thiết kế xanh
7620101	Nông nghiệp
7620102	Khuyến nông
7620103	Khoa học đất
7620105	Chăn nuôi
7620106	Chăn nuôi thú y
7620108	Phân bón và dinh dưỡng cây trồng
7620109	Nông học
7620110	Khoa học cây trồng
7620112	Bảo vệ thực vật
7620113	Công nghệ rau hoa quả và cảnh quan
7620114	Kinh doanh nông nghiệp
7620115	Kinh tế nông nghiệp
7620116	Phát triển nông thôn
7620118	Nông nghiệp công nghệ cao
7620119	Chăn nuôi thú y
7620201	Lâm học
7620202	Lâm nghiệp đô thị
7620205	Lâm sinh
7620210	Lâm nghiệp
7620211	Quản lý tài nguyên rừng
7620301	Nuôi trồng thuỷ sản
7620302	Bệnh học thủy sản
7620303	Khoa học thủy sản
7620304	Khai thác thuỷ sản
7620305	Quản lý thủy sản
7640101	Thú y
7720101	Y khoa
7720110	Y học dự phòng
7720115	Y học cổ truyền
7720201	Dược học
7720203	Hoá dược
7720301	Điều dưỡng
7720302	Hộ sinh
7720401	Dinh dưỡng
7720497	Dinh dưỡng và khoa học thực phẩm
7720501	Răng - Hàm - Mặt
7720502	Kỹ thuật phục hình răng
7720601	Kỹ thuật xét nghiệm y học
7720602	Kỹ thuật hình ảnh y học
7720603	Kỹ thuật phục hồi chức năng
7720699	Khúc xạ nhãn khoa
7720701	Y tế công cộng
7720801	Tổ chức và quản lý y tế
7720802	Quản lý bệnh viện
7729001	Y sinh học thể dục thể thao
7760101	Công tác xã hội
7760102	Công tác thanh thiếu niên
7760103	Hỗ trợ giáo dục người khuyết tật
7760104	Dân số và phát triển
7810101	Du lịch
7810102	Du lịch điện tử
7810103	Quản trị dịch vụ du lịch và lữ hành
7810104	Quản trị du lịch và khách sạn
7810105	Du lịch địa chất
7810106	Văn hóa Du lịch
7810201	Quản trị khách sạn
7810202	Quản trị nhà hàng và Dịch vụ ăn uống
7810203	Quản trị Khách sạn - Nhà hàng
7810204	Quản lý Du lịch Quốc tế (CTTT)
7810301	Quản lý thể dục thể thao
7810302	Huấn luyện thể thao
7810501	Kinh tế gia đình
7810502	Kỹ thuật nữ công
7819009	Khoa học dinh dưỡng và thực phẩm
7819010	Khoa học chế biến món ăn
7840101	Khai thác vận tải
7840102	Quản lý hoạt động bay
7840104	Kinh tế vận tải
7840106	Khoa học hàng hải
7840110	Quản lý và vận hành hạ tầng
7850101	Quản lý tài nguyên và môi trường
7850102	Kinh tế tài nguyên thiên nhiên
7850103	Quản lý đất đai
7850104	Du lịch sinh thái
7850105	Quản lý an toàn, sức khỏe và môi trường
7850106	Quản lý tài nguyên thiên nhiên
7850110	Quản lý phát triển đô thị và bất động sản
7850118	Quản lý bất động sản
7850195	Quản lý tổng hợp tài nguyên nước
7850197	Quản lý tài nguyên và môi trường biển đảo
7850198	Quản lý tài nguyên nước
7850199	Quản lý biển
7850201	Bảo hộ lao động
7850202	An toàn, Vệ sinh lao động
7859002	Tài nguyên và du lịch sinh thái
7859003	Môi trường, Sức khỏe và An toàn
7859007	Cảnh quan và kỹ thuật hoa viên
7860101	Trinh sát an ninh
7860102	Trinh sát cảnh sát
7860103	Trinh sát kỹ thuật
7860104	Điều tra hình sự
7860107	Kỹ thuật Công an nhân dân
7860108	Kỹ thuật hình sự
7860109	Quản lý nhà nước về an ninh trật tự
7860110	Quản lý trật tự an toàn giao thông
7860111	Thi hành án hình sự và hỗ trợ tư pháp
7860112	Tham mưu, chỉ huy công an nhân dân
7860113	Phòng cháy chữa cháy và cứu nạn cứu hộ
7860116	Hậu cần công an nhân dân
7860117	Tình báo an ninh
7860201	Chỉ huy tham mưu Lục quân
7860202	Chỉ huy tham mưu Hải quân
7860203	Chỉ huy tham mưu Không quân
7860204	Chỉ huy tham mưu Phòng không
7860205	Chỉ huy tham mưu Pháo binh
7860206	Chỉ huy tham mưu Tăng - thiết giáp
7860207	Chỉ huy tham mưu Đặc công
7860214	Biên phòng
7860217	Tình báo quân sự
7860218	Hậu cần quân sự
7860219	Chỉ huy, tham mưu thông tin
7860220	Chỉ huy, quản lý kỹ thuật
7860221	Chỉ huy, quản lý kỹ thuật
7860222	Quân sự cơ sở
7860226	Chỉ huy kỹ thuật Phòng không
7860227	Chỉ huy kỹ thuật Tăng - thiết giáp
7860228	Chỉ huy kỹ thuật Công binh
7860229	Chỉ huy kỹ thuật Hoá học
7860231	Trinh sát kỹ thuật
7860232	Chỉ huy kỹ thuật Hải quân
7860233	Chỉ huy kỹ thuật tác chiến điện tử
7900101	Quản trị doanh nghiệp và công nghệ
7900102	Marketing và truyền thông
7900103	Quản trị nhân lực và nhân tài
7900104	Kinh tế tài chính
7900189	Quản trị và An ninh
7900204	Quản trị đô thị thông minh và bền vững
7900205	Quản trị tài nguyên di sản
7904492	Khoa học & Quản lí môi trường (CTTT)
7905419	Công nghệ thực phẩm (CTTT)
7906425	Kinh tế nông nghiệp (CTTT)
8140101	Giáo dục học
8140108	Giáo dục và Phát triển cộng đồng
8140110	Lý luận và phương pháp dạy học
8140111	Lý luận và phương pháp dạy học bộ môn
8140113	Giáo dục và Phát triển cộng đồng
8140114	Quản lý giáo dục
8140115	Đo lường và đánh giá trong giáo dục
8140116	Thiết kế phương tiện giáo dục, giảng dạy
8140117	Giáo dục quốc tế và so sánh
8140118	Giáo dục đặc biệt
8140119	Sư phạm Kỹ thuật Điện
8140120	Sư phạm Kỹ thuật Ô tô
8140121	Quản trị trường phổ thông
8140202	Lý luận và phương pháp dạy học âm nhạc
8210101	Lý luận và lịch sử mỹ thuật
8210102	Mỹ thuật tạo hình
8210201	Âm nhạc học
8210202	Nghệ thuật âm nhạc
8210221	Lý luận và lịch sử sân khấu
8210222	Nghệ thuật sân khấu
8210231	Lý luận và lịch sử điện ảnh, truyền hình
8210232	Nghệ thuật điện ảnh, truyền hình
8210401	Lý luận và lịch sử mỹ thuật ứng dụng
8210402	Thiết kế công nghiệp
8210403	Thiết kế đồ họa
8210404	Thiết kế thời trang
8210406	Thiết kế mỹ thuật sân khấu, điện ảnh
8210410	Mỹ thuật ứng dụng
8220102	Ngôn ngữ Việt Nam
8220104	Hán Nôm
8220109	Ngôn ngữ các dân tộc thiểu số Việt Nam
8220120	Lý luận văn học
8220121	Văn học Việt Nam
8220125	Văn học dân gian
8220201	Ngôn ngữ Anh
8220202	Ngôn ngữ Nga
8220203	Ngôn ngữ Pháp
8220204	Ngôn ngữ Trung Quốc
8220205	Ngôn ngữ Đức
8220209	Ngôn ngữ Nhật
8220210	Ngôn ngữ Hàn Quốc
8220214.01QTD	Ngôn ngữ học ứng dụng tiếng Anh
8220241	Ngôn ngữ học so sánh, đối chiếu
8220242	Văn học nước ngoài
8222024	"Nhân vănVIINgôn ngữ học so sánh, đối chiếu"
8229001	Triết học
8229008	Chủ nghĩa xã hội khoa học
8229009	Tôn giáo học
8229011	Lịch sử thế giới
8229012	Lịch sử phong trào cộng sản, công nhân quốc tế và giải phóng dân tộc
8229013	Lịch sử Việt Nam
8229015	Lịch sử Đảng Cộng sản Việt Nam
8229017	Khảo cổ học
8229020	Ngôn ngữ học
8229030	Văn học
8229031	Văn học so sánh
8229040	Văn hoá học
8229041	Văn hoá dân gian
8229042	Quản lý văn hoá
8229043	Văn hóa so sánh
8310101	Kinh tế học
8310102	Kinh tế chính trị
8310104	Kinh tế đầu tư
8310105	Kinh tế phát triển
8310106	Kinh tế quốc tế
8310107	Thống kê kinh tế
8310108	Toán kinh tế
8310110	Quản lý kinh tế
8310201	Chính trị học
8310202	Xây dựng Đảng và Chính quyền nhà nước
8310204	Hồ Chí Minh học
8310206	Quan hệ quốc tế
8310301	Xã hội học
8310302	Nhân học
8310310	Dân tộc học
8310313	Phát triển bền vững
8310315	Phát triển con người
8310317	Quyền con người
8310401	Tâm lý học
8310402	Tâm lý học lâm sàng
8310501	Địa lý học
8310601	Quốc tế học
8310602	Châu Á học
8310608	Đông phương học
8310612	Trung Quốc học
8310613	Nhật Bản học
8310614	Hàn quốc học
8310620	Đông Nam Á học
8310630	Việt Nam học
8320101	Báo chí học
8320105	Truyền thông đại chúng
8320107	Truyền thông quốc tế
8320108	Quan hệ công chúng
8320202	Thông tin học
8320203	Khoa học thư viện
8320303	Lưu trữ học
8320305	Bảo tàng học
8320401	Xuất bản
8340101	Quản trị kinh doanh
8340115	Marketing
8340120	Kinh doanh quốc tế
8340121	Kinh doanh thương mại
8340129_td	Quản trị bệnh viện
8340201	Tài chính - Ngân hàng
8340202	Quản trị tài chính
8340204	Bảo hiểm
8340205	8340205
8340301	Kế toán
8340401	Khoa học quản lý
8340402	Chính sách công
8340403	Quản lý công
8340404	Quản trị nhân lực
8340405	Hệ thống thông tin quản lý
8340406	Quản trị văn phòng
8340410	Quản lý kinh tế trình độ thạc sĩ
8340412	Quản lý khoa học và công nghệ
8340417	Quản lý an toàn và sức khoẻ nghề nghiệp
8340418	Quản lý du lịch bền vững
8349010	Quản lý đô thị
8380101	Luật
8380102	Luật hiến pháp và luật hành chính
8380103	Luật dân sự và tố tụng dân sự
8380104	Luật hình sự và tố tụng hình sự
8380105	Tội phạm học và phòng ngừa tội phạm
8380106	Lý luận và lịch sử nhà nước và pháp luật
8380107	Luật kinh tế
8380108	Luật quốc tế
8420101	Sinh học
8420102	Nhân chủng học
8420103	Động vật học
8420107	Vi sinh vật học
8420108	Thuỷ sinh vật học
8420111	Thực vật học
8420114	Sinh học thực nghiệm
8420116	Hoá sinh học
8420120	Sinh thái học
8420121	Di truyền học
8420201	Công nghệ sinh học
8440101	Thiên văn học
8440103	Vật lý lý thuyết và vật lý toán
8440104	Vật lý chất rắn
8440105	Vật lý vô tuyến và điện tử
8440106	Vật lý nguyên tử và hạt nhân
8440107	Cơ học vật rắn
8440108	Cơ học chất lỏng và chất khí
8440109	Cơ học
8440110	Quang học
8440111	Vật lý địa cầu
8440112	Hoá học
8440113	Hoá vô cơ
8440114	Hoá hữu cơ
8440118	Hoá phân tích
8440119	Hoá lí thuyết và hoá lí
8440120	Hóa môi trường
8440122	Khoa học vật liệu
8440130.07	Vật lí nhiệt
8440201	Địa chất học
8440201.03	Địa chất môi trường
8440202	Địa tin học
8440205	Khoáng vật học và địa hóa học
8440210	Địa vật lí
8440212	Bản đồ học
8440214	Bản đồ, viễn thám và hệ thông tin địa lý
8440217	Địa lí tự nhiên
8440218	Địa mạo và cổ địa lý
8440220	Địa lý tài nguyên và môi trường
8440222	Khí tượng và khí hậu học
8440224	Thuỷ văn học
8440228	Hải dương học
8440301	Khoa học môi trường
8440301.04	Môi trường và PTBV
8440302	Quản lý an toàn, sức khoẻ và môi trường
8460101	Toán học
8460102	Toán giải tích
8460103	Phương trình vi phân và tích phân
8460104	Đại số và lí thuyết số
8460105	Hình học và tôpô
8460106	Lí thuyết xác suất và thống kê toán học
8460107	Khoa học tính toán
8460108	Khoa học dữ liệu
8460110	Cơ sở toán học cho tin học
8460112	Toán ứng dụng
8460113	Phương pháp toán sơ cấp
8460117	Toán tin
8460201	Thống kê
8480101	Khoa học máy tính
8480102	Mạng máy tính và truyền thông dữ liệu
8480103	Kỹ thuật phần mềm
8480104	Hệ thống thông tin
8480106	Kỹ thuật máy tính
8480107	Trí tuệ nhân tạo
8480201	Công nghệ thông tin
8480202	An toàn thông tin
8480204	Quản lý công nghệ thông tin
8480205	Quản lý Hệ thống thông tin
8480206	Địa tin học
8510601	Quản lý công nghiệp
8510602	Quản lý năng lượng
8510605	Logistics và quản lý chuỗi cung ứng
8520101	Cơ kỹ thuật
8520103	Kỹ thuật cơ khí
8520114	Kỹ thuật cơ điện tử
8520115	Kỹ thuật nhiệt
8520116	Kỹ thuật cơ khí động lực
8520117	Kỹ thuật công nghiệp
8520118	Kỹ thuật hệ thống công nghiệp
8520120	Kỹ thuật hàng không
8520121	Kỹ thuật không gian
8520122	Kỹ thuật tàu thuỷ
8520130	Kỹ thuật ô tô
8520135	Kỹ thuật năng lượng
8520137	Kỹ thuật hàng hải
8520138	Kỹ thuật in
8520201	Kỹ thuật điện
8520203	Kỹ thuật điện tử
8520204	Kỹ thuật rađa - dẫn đường
8520208	Kỹ thuật viễn thông
8520209	Kỹ thuật mật mã
8520212	Kỹ thuật y sinh
8520216	Kỹ thuật điều khiển và tự động hóa
8520301	Kỹ thuật hoá học
8520301.02	Hóa dầu
8520305	Kỹ thuật hóa dầu và lọc dầu
8520309	Kỹ thuật vật liệu
8520320	Kỹ thuật môi trường
8520401	Vật lý kỹ thuật
8520402	Kỹ thuật hạt nhân
8520501	Kỹ thuật địa chất
8520502	Kỹ thuật địa vật lý
8520503	Kỹ thuật trắc địa - bản đồ
8520602	Kỹ thuật thăm dò và khảo sát
8520603	Khai thác mỏ
8520604	Kỹ thuật dầu khí
8520607	Kỹ thuật tuyển khoáng
8520608	Công trình biển
8540101	Công nghệ thực phẩm
8540104	Công nghệ sau thu hoạch
8540105	Công nghệ chế biến thuỷ sản
8540106	Đảm bảo chất lượng và an toàn thực phẩm
8540203	Công nghệ vật liệu dệt, may
8540204	Công nghệ dệt, may
8549001	Kỹ thuật chế biến lâm sản
8580101	Kiến trúc
8580103	Kiến trúc nội thất
8580105	Quy hoạch vùng và đô thị
8580106	Quản lý đô thị và công trình
8580112	Đô thị học
8580201	Kỹ thuật xây dựng
8580202	Kỹ thuật xây dựng công trình thuỷ
8580203	Kỹ thuật xây dựng công trình biển
8580204	Kỹ thuật xây dựng công trình ngầm
8580205	Kỹ thuật xây dựng công trình giao thông
8580206	Kỹ thuật xây dựng công trình đặc biệt
8580210	Kỹ thuật cơ sở hạ tầng
8580211	Địa kỹ thuật xây dựng
8580212	Kỹ thuật tài nguyên nước
8580213	Kỹ thuật cấp thoát nước
8580301	Kinh tế xây dựng
8580302	Quản lý xây dựng
8580408	Thiết kế nội thất
8620103	Khoa học đất
8620105	Chăn nuôi
8620106	Chăn nuôi – thú y
8620110	Khoa học cây trồng
8620111	Di truyền và chọn giống cây trồng
8620112	Bảo vệ thực vật
8620115	Kinh tế nông nghiệp
8620116	Phát triển nông thôn
8620118	Hệ thống nông nghiệp
8620201	Lâm học
8620205	Lâm sinh
8620211	Quản lý tài nguyên rừng
8620301	Nuôi trồng thuỷ sản
8620302	Bệnh học thủy sản
8620304	Khai thác thuỷ sản
8620305	Quản lý thủy sản
8620306	Quản lý tổng hợp vùng ven biển
8640101	Thú y
8720101	Khoa học y sinh
8720102	Gây mê hồi sức
8720103	Hồi sức cấp cứu và chống độc
8720104	Ngoại khoa
8720105	Sản phụ khoa
8720106	Nhi khoa
8720107	Nội khoa
8720108	Ung thư
8720109	Bệnh truyền nhiễm và các bệnh nhiệt đới
8720110	Y học dự phòng
8720111	Điện quang và y học hạt nhân
8720115	Y học cổ truyền
8720117	Dịch tễ học
8720118	Dược lý và độc chất
8720119	Phẫu thuật tạo hình, tái tạo và thẩm mỹ
8720155	Tai - Mũi - Họng
8720157	Mắt (Nhãn khoa)
8720158	Khoa học thần kinh
8720163	Y học dự phòng
8720202	Công nghệ dược phẩm và bào chế thuốc
8720203	Hóa dược
8720205	Dược lý và dược lâm sàng
8720206	Dược liệu - Dược học cổ truyền
8720208	Hóa sinh dược
8720210	Kiểm nghiệm thuốc và độc chất
8720212	Tổ chức quản lý dược
8720301	Điều dưỡng
8720302	Hộ sinh
8720401	Dinh dưỡng
8720501	Răng - Hàm - Mặt
8720601	Kỹ thuật xét nghiệm y học
8720602	Kỹ thuật hình ảnh y học
8720603	Kỹ thuật phục hồi chức năng
8720701	Y tế công cộng
8720801	Quản lý Y tế
8720802	Quản lý bệnh viện
8729001	Y học gia đình
8729002	Giáo dục y học
8729003	Y học Quân sự
8729004	Y học biển
8760101	Công tác xã hội
8810101	Du lịch
8810103	Quản trị dịch vụ du lịch và lữ hành
8810104	Quản trị khách sạn nhà hàng - Dịch vụ ăn uống
8810201	Quản trị khách sạn
8810301	Quản lý thể dục thể thao
8840103	Tổ chức và quản lý vận tải
8840106	Khoa học hàng hải
8850101	Quản lý tài nguyên và môi trường
8850102	Kinh tế tài nguyên
8850103	Quản lý đất đai
8850104	Quản lý biển đảo và đới bờ
8860101	Trinh sát an ninh
8860102	Trinh sát cảnh sát
8860103	Trinh sát kỹ thuật
8860104	Điều tra hình sự
8860107	Kỹ thuật Công an nhân dân
8860108	Kỹ thuật hình sự
8860109	Quản lý nhà nước về an ninh trật tự
8860110	Quản lý trật tự an toàn giao thông
8860111	Thi hành án hình sự và hỗ trợ tư pháp
8860112	Tham mưu, chỉ huy công an nhân dân
8860113	Phòng cháy chữa cháy và cứu nạn cứu hộ
8860116	Hậu cần công an nhân dân
8860117	Tình báo an ninh
8860118	An ninh phi truyền thống
8860208	Nghệ thuật quân sự
8860209	Lịch sử nghệ thuật quân sự
8860210	Chiến lược quân sự
8860211	Chiến lược quốc phòng
8860212	Nghệ thuật chiến dịch
8860213	Chiến thuật
8860215	Biên phòng
8860216	Quản lý biên giới và cửa khẩu
8860217	Tình báo quân sự
8860218	Hậu cần quân sự
8860220	Chỉ huy, quản lý kỹ thuật
8860221	Trinh sát quân sự
8900103	Bảo hộ lao động
8900201	Quản trị An ninh phi truyền thống
8900202	Biến đổi khí hậu
8900203	Khoa học bền vững
8900204	Quản lý phát triển đô thị
8900205	Di sản học
8900301	Quản trị công nghệ và phát triển doanh nghiệp
9140101	Giáo dục học
9140102	Lý luận và lịch sử giáo dục
9140110	Lý luận và phương pháp dạy học
9140111	Lý luận và phương pháp dạy học bộ môn
9140114	Quản lý giáo dục
9140115	Đo lường và đánh giá trong giáo dục
9140116	Thiết kế phương tiện giáo dục, giảng dạy
9140117	Giáo dục quốc tế và so sánh
9140118	Giáo dục đặc biệt
9210101	Lý luận và lịch sử mỹ thuật
9210201	Âm nhạc học
9210221	Lý luận và lịch sử sân khấu
9210231	Lý luận và lịch sử điện ảnh, truyền hình
9220102	Ngôn ngữ Việt Nam
9220104	Hán Nôm
9220109	Ngôn ngữ các dân tộc thiểu số Việt Nam
9220120	Lý luận văn học
9220121	Văn học Việt Nam
9220125	Văn học dân gian
9220201	Ngôn ngữ Anh
9220202	Ngôn ngữ Nga
9220203	Ngôn ngữ Pháp
9220204	Ngôn ngữ Trung Quốc
9220205	Ngôn ngữ Đức
9220209	Ngôn ngữ Nhật
9220210	Ngôn ngữ Hàn Quốc
9220241	Ngôn ngữ học so sánh, đối chiếu
9220242	Văn học nước ngoài
9229001	Triết học
9229002	Chủ nghĩa duy vật biện chứng và duy vật lịch sử
9229004	Logic học
9229006	Đạo đức học
9229007	Mỹ học
9229008	Chủ nghĩa xã hội khoa học
9229009	Tôn giáo học
9229011	Lịch sử thế giới
9229012	Lịch sử phong trào cộng sản, công nhân quốc tế và giải phóng dân tộc
9229013	Lịch sử Việt Nam
9229015	Lịch sử Đảng Cộng sản Việt Nam
9229017	Khảo cổ học
9229020	Ngôn ngữ học
9229030	Văn học
9229040	Văn hoá học
9229041	Văn hoá dân gian
9229042	Quản lý văn hoá
9310101	Kinh tế học
9310102	Kinh tế chính trị
9310104	Kinh tế đầu tư
9310105	Kinh tế phát triển
9310106	Kinh tế quốc tế
9310107	Thống kê kinh tế
9310108	Toán kinh tế
9310110	Quản lý kinh tế
9310116	Kinh tế và Quản lí
9310201	Chính trị học
9310202	Xây dựng Đảng và Chính quyền nhà nước
9310204	Hồ Chí Minh học
9310206	Quan hệ quốc tế
9310301	Xã hội học
9310302	Nhân học
9310310	Dân tộc học
9310401	Tâm lý học
9310501	Địa lý học
9310601	Quốc tế học
9310608	Đông phương học
9310612	Trung Quốc học
9310613	Nhật Bản học
9310620	Đông Nam Á học
9310630	Việt Nam học
9320101	Báo chí học
9320105	Truyền thông đại chúng
9320202	Thông tin học
9320203	Khoa học thư viện
9320303	Lưu trữ học
9320305	Bảo tàng học
9320401	Xuất bản
9340101	Quản trị kinh doanh
9340121	Kinh doanh thương mại
9340201	Tài chính - Ngân hàng
9340204	Bảo hiểm
9340301	Kế toán
9340401	Khoa học quản lý
9340402	Chính sách công
9340403	Quản lý công
9340404	Quản trị nhân lực
9340405	Hệ thống thông tin quản lý
9340407	Quản trị và phát triển bền vững
9340412	Quản lý khoa học và công nghệ
9380101	Luật
9380102	Luật hiến pháp và luật hành chính
9380103	Luật dân sự và tố tụng dân sự
9380104	Luật hình sự và tố tụng hình sự
9380105	Tội phạm học và phòng ngừa tội phạm
9380106	Lý luận và lịch sử nhà nước và pháp luật
9380107	Luật kinh tế
9380108	Luật quốc tế
9420101	Sinh học
9420102	Nhân chủng học
9420103	Động vật học
9420104	Sinh lý học người và động vật
9420105	Ký sinh trùng học
9420106	Côn trùng học
9420107	Vi sinh vật học
9420108	Thuỷ sinh vật học
9420111	Thực vật học
9420112	Sinh lý học thực vật
9420113	Tuyến trùng học
9420115	Lý sinh học
9420116	Hoá sinh học
9420120	Sinh thái học
9420121	Di truyền học
9420201	Công nghệ sinh học
9440101	Thiên văn học
9440103	Vật lý lý thuyết và vật lý toán
9440104	Vật lý chất rắn
9440105	Vật lý vô tuyến và điện tử
9440106	Vật lý nguyên tử và hạt nhân
9440107	Cơ học vật rắn
9440108	Cơ học chất lỏng và chất khí
9440109	Cơ học
9440110	Quang học
9440111	Vật lý địa cầu
9440112	Hoá học
9440113	Hoá vô cơ
9440114	Hoá hữu cơ
9440117	Hoá học các hợp chất thiên nhiên
9440118	Hoá phân tích
9440119	Hoá lí thuyết và hoá lí
9440120	Hóa môi trường
9440122	Khoa học vật liệu
9440123	Vật liệu điện tử
9440125	Vật liệu cao phân tử và tổ hợp
9440127	Vật liệu quang học, quang điện tử và quang tử
9440129	Kim loại học
9440130.07	Vật lí nhiệt
9440201	Địa chất học
9440205	Khoáng vật học và địa hóa học
9440210	Địa vật lí
9440212	Bản đồ học
9440214	Bản đồ, viễn thám và hệ thông tin địa lý
9440217	Địa lí tự nhiên
9440218	Địa mạo và cổ địa lý
9440220	Địa lý tài nguyên và môi trường
9440221	Biến đổi khí hậu
9440222	Khí tượng và khí hậu học
9440224	Thuỷ văn học
9440228	Hải dương học
9440301	Khoa học môi trường
9440303	Môi trường đất và nước
9440305	Độc học môi trường
9460101	Toán học
9460102	Toán giải tích
9460103	Phương trình vi phân và tích phân
9460104	Đại số và lí thuyết số
9460105	Hình học và tôpô
9460106	Lí thuyết xác suất và thống kê toán học
9460107	Khoa học tính toán
9460110	Cơ sở toán học cho tin học
9460112	Toán ứng dụng
9460117	Toán tin
9460201	Thống kê
9480101	Khoa học máy tính
9480102	Mạng máy tính và truyền thông dữ liệu
9480103	Kỹ thuật phần mềm
9480104	Hệ thống thông tin
9480106	Kỹ thuật máy tính
9480107	Trí tuệ nhân tạo
9480111	Tin học và Kĩ thuật máy tính
9480201	Công nghệ thông tin
9480202	An toàn thông tin
9510601	Quản lý công nghiệp
9510602	Quản lý Năng lượng
9510605	Logistics và quản lý chuỗi cung ứng
9520101	Cơ kỹ thuật
9520103	Kỹ thuật cơ khí
9520114	Kỹ thuật cơ điện tử
9520115	Kỹ thuật nhiệt
9520116	Kỹ thuật cơ khí động lực
9520118	Kỹ thuật hệ thống công nghiệp
9520121	Kỹ thuật không gian
9520122	Kỹ thuật tàu thuỷ
9520130	Kỹ thuật ô tô
9520135	Kỹ thuật năng lượng
9520137	Kỹ thuật in
9520138	Kỹ thuật hàng hải
9520201	Kỹ thuật điện
9520203	Kỹ thuật điện tử
9520204	Kỹ thuật rađa - dẫn đường
9520208	Kỹ thuật viễn thông
9520209	Kỹ thuật mật mã
9520212	Kỹ thuật y sinh
9520216	Kỹ thuật điều khiển và tự động hóa
9520301	Kỹ thuật hoá học
9520301.02	Hóa dầu
9520305	Kỹ thuật hóa dầu và lọc dầu
9520309	Kỹ thuật vật liệu
9520320	Kỹ thuật môi trường
9520401	Vật lý kỹ thuật
9520402	Kỹ thuật hạt nhân
9520501	Kỹ thuật địa chất
9520502	Kỹ thuật địa vật lý
9520503	Kỹ thuật trắc địa - bản đồ
9520602	Kỹ thuật thăm dò và khảo sát
9520603	Khai thác mỏ
9520604	Kỹ thuật dầu khí
9520607	Kỹ thuật tuyển khoáng
9540101	Công nghệ thực phẩm
9540104	Công nghệ sau thu hoạch
9540105	Công nghệ chế biến thuỷ sản
9540203	Công nghệ vật liệu dệt, may
9540204	Công nghệ dệt, may
9549001	Kỹ thuật chế biến lâm sản
9580101	Kiến trúc
9580105	Quy hoạch vùng và đô thị
9580106	Quản lý đô thị và công trình
9580201	Kỹ thuật xây dựng
9580202	Kỹ thuật xây dựng công trình thuỷ
9580203	Kỹ thuật xây dựng công trình biển
9580204	Kỹ thuật xây dựng công trình ngầm
9580205	Kỹ thuật xây dựng công trình giao thông
9580206	Kỹ thuật xây dựng công trình đặc biệt
9580210	Kỹ thuật cơ sở hạ tầng
9580211	Địa kỹ thuật xây dựng
9580212	Kỹ thuật tài nguyên nước
9580213	Kỹ thuật cấp thoát nước
9580302	Quản lý xây dựng
9620103	Khoa học đất
9620105	Chăn nuôi
9620107	Dinh dưỡng và thức ăn chăn nuôi
9620108	Di truyền và chọn giống vật nuôi
9620110	Khoa học cây trồng
9620111	Di truyền và chọn giống cây trồng
9620112	Bảo vệ thực vật
9620115	Kinh tế nông nghiệp
9620116	Phát triển nông thôn
9620205	Lâm sinh
9620207	Di truyền và chọn giống cây lâm nghiệp
9620208	Điều tra và quy hoạch rừng
9620211	Quản lý tài nguyên rừng
9620301	Nuôi trồng thuỷ sản
9620302	Bệnh học thủy sản
